"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"0","237.36364020705798","67.24469009601842","4.721908316964448","-0.31197865973435573","0.0400390625","0.06494140625","0.01513671875","1300","0.0001197026079806835","0","0.0001197026079806835","0.0001197026079806835","","","true"
"1","346.1493523862223","313.7770392591204","4.81513590032656","-0.3097440319777085","0.06591796875","0.08544921875","0.04638671875","1300","0.0000957549989630181","0","0.0000957549989630181","0.0000957549989630181","1_0:0.003674565805698027","1_0:660","true"
"2","212.841330822188","313.5522182645593","4.609655107492074","-0.3090875180776862","0.0087890625","0.0078125","0.009765625","1300","0.00012132929118708942","0","0.00012132929118708942","0.00012132929118708942","2_1:0.005329801657014577","2_1:660","true"
"3","173.85338187339931","265.9320151303044","4.875545985705616","-0.30968652168552707","0.036376953125","0.05419921875","0.0185546875","1300","0.00020132260730318418","0","0.00020132260730318418","0.00020132260730318418","3_2:0.009102195277030045","3_2:660","true"
"4","237.26478762795782","272.30156576518203","4.818175808974537","-0.3103713081153928","0.03857421875","0.01611328125","0.06103515625","1300","0.0015747719222384202","0","0.0015747719222384202","0.0015747719222384202","4_15:0.010634295101000835;4_3:0.0070335644263401775;4_5:0.008896820793775573","4_15:660;4_3:660;4_5:660","true"
"5","95.3285816173896","154.4013100241366","4.7341447892979165","-0.3114518235315779","0.019287109375","0.0146484375","0.02392578125","1300","0.0002055182745533732","0","0.0002055182745533732","0.0002055182745533732","","","true"
"6","361.57470052872173","79.97045746832941","4.876275766278119","-0.30918835047116894","0.010986328125","0.01123046875","0.0107421875","1300","0.0006175943536238745","0","0.0006175943536238745","0.0006175943536238745","6_5:0.028663429846843114;6_7:0.014172114895257881","6_5:660;6_7:660","true"
"7","76.50734778460705","325.95578859242664","4.967524822898377","-0.30745739300983294","0.03076171875","0.02783203125","0.03369140625","1300","0.000567080270392601","0","0.000567080270392601","0.000567080270392601","7_8:0.006716937607421147","7_8:660","true"
"8","364.5840652795985","235.0524974930747","4.902345248208107","-0.30837827664687645","0.0224609375","0.02880859375","0.01611328125","1300","0.00017789319019452694","0","0.00017789319019452694","0.00017789319019452694","8_9:0.007871393079504352","8_9:660","true"
"9","355.8630532605127","180.9652334196189","4.987235069122292","-0.3080310587566364","0.009765625","0.00634765625","0.01318359375","1300","0.0002667716425005915","0","0.0002667716425005915","0.0002667716425005915","","","true"
"10","275.2549200463607","249.00699613262165","4.831534448410197","-0.3097434424405673","0.01806640625","0.02197265625","0.01416015625","1300","0.00009653958088448754","0","0.00009653958088448754","0.00009653958088448754","10_9:0.007263660854513965;10_11:0.008827570856683897","10_9:660;10_11:660","true"
"11","205.7224190331731","289.5376581138648","4.972305689737398","-0.307214316560019","0.134033203125","0.14111328125","0.126953125","1300","0.00027779014216405227","0","0.00027779014216405227","0.00027779014216405227","11_12:0.007168053828753018","11_12:660","true"
"12","324.6974911157366","159.19569755037656","4.936319107472835","-0.3079608272575031","0.01904296875","0.0205078125","0.017578125","1300","0.00030439665156922454","0","0.00030439665156922454","0.00030439665156922454","12_17:0.007496385173608566","12_17:660","true"
"13","344.0497895568721","125.03127791424994","5.005809502119509","-0.3067650398842775","0.02685546875","0.03955078125","0.01416015625","1300","0.00017736208336928134","0","0.00017736208336928134","0.00017736208336928134","13_12:0.0069256260074322396","13_12:660","true"
"14","284.9302004103752","114.5077343397527","4.903344760967439","-0.308419961199297","0.02099609375","0.02587890625","0.01611328125","1300","0.0002297539768296492","0","0.0002297539768296492","0.0002297539768296492","14_0:0.004651773601619447;14_18:0.004666190156189798","14_0:660;14_18:660","true"
"15","253.10805620087478","40.205453453727294","4.947914953560998","-0.308052427832017","0.01171875","0.009765625","0.013671875","1300","0.00018731320168542648","0","0.00018731320168542648","0.00018731320168542648","15_22:0.005121024658812756","15_22:660","true"
