"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"0","307.9851225017299","65.64844423705082","4.721910907346705","-0.31197865973435573","0.023800000000000043","0.0244","0.0232","4000","0.00012936260182953277","0.00012936260182953277","0.00012936260182953277","","","true"
"1","307.4468782842501","231.63643453627503","4.815130288328893","-0.3097440319777085","0.020000000000000018","0.0212","0.01880000000000004","4000","0.00015430409507043668","0.00015430409507043668","0.00015430409507043668","1_0:0.003718129187554625","1_0:660","true"
"2","363.7948593623387","128.66201546451333","4.609673749764067","-0.3090875180776862","0.007000000000000006","0.009600000000000053","0.0044","4000","0.00015773101858812004","0.00015773101858812004","0.00015773101858812004","2_1:0.005926527811292132","2_1:660","true"
"3","369.0443440619279","152.78019179937294","4.875544055683626","-0.30968652168552707","0.024599999999999955","0.014399999999999968","0.0348","4000","0.00012211983482481213","0.00012211983482481213","0.00012211983482481213","3_2:0.009835911297150363","3_2:660","true"
"4","332.0777471558169","357.71628415303894","4.8181705490475775","-0.3103713081153928","0.01629999999999998","0.016599999999999948","0.016","4000","0.0001519878078949466","0.0001519878078949466","0.0001519878078949466","4_5:0.003391418493704862;4_3:0.00935099019886479;4_15:0.004700201112823377","4_5:660;4_3:660;4_15:660","true"
"5","337.04498857858897","234.38839989387475","4.734131635671519","-0.3114518235315779","0.006099999999999994","0.007800000000000029","0.0044","4000","0.00008064945659750371","0.00008064945659750371","0.00008064945659750371","","","true"
"6","240.16927012501802","54.81643792060055","4.876315562856026","-0.30918835047116894","0.007099999999999995","0.0072","0.007000000000000006","4000","0.00016976578647214929","0.00016976578647214929","0.00016976578647214929","6_7:0.005529182874572797;6_5:0.004164787251803526","6_7:660;6_5:660","true"
"7","207.9013122371266","293.26196054168577","4.967497721838879","-0.30745739300983294","0.014899999999999913","0.016199999999999992","0.0136","4000","0.0002736693630807899","0.0002736693630807899","0.0002736693630807899","7_8:0.007570985880305248","7_8:660","true"
"8","269.69463651973103","227.7807784032474","4.902338112904863","-0.30837827664687645","0.007800000000000029","0.010600000000000054","0.005","4000","0.00016969488609308648","0.00016969488609308648","0.00016969488609308648","8_9:0.007184420153163756","8_9:660","true"
"9","438.2557338771885","174.05786313761254","4.987235945005182","-0.3080310587566364","0.00539999999999996","0.00539999999999996","0.0054","4000","0.00019121135079653247","0.00019121135079653247","0.00019121135079653247","","","true"
"10","236.15508456054386","231.89560226755734","4.831538463780047","-0.3097434424405673","0.013499999999999956","0.013599999999999945","0.0134","4000","0.00018894488257810394","0.00018894488257810394","0.00018894488257810394","10_11:0.010584036791198015;10_9:0.007508184013879177","10_11:660;10_9:660","true"
"11","384.9055776076666","246.6534724408438","4.972284075010129","-0.307214316560019","0.11880000000000002","0.116","0.12160000000000004","4000","0.0001291115560495821","0.0001291115560495821","0.0001291115560495821","11_12:0.006650565245551909","11_12:660","true"
"12","306.4934466359345","250.37217640428855","4.936312422388661","-0.3079608272575031","0.01319999999999999","0.01419999999999999","0.0122","4000","0.00017480070245306262","0.00017480070245306262","0.00017480070245306262","12_17:0.00822910463628565","12_17:660","true"
"13","318.44248708787615","106.55179125104996","5.005807633156282","-0.3067650398842775","0.01200000000000001","0.0094","0.014599999999999946","4000","0.00020184939350847164","0.00020184939350847164","0.00020184939350847164","13_12:0.006465886602537663","13_12:660","true"
"14","220.40668935554297","64.35542430509722","4.903346766757299","-0.308419961199297","0.01639999999999997","0.0172","0.015599999999999947","4000","0.00018662759295294423","0.00018662759295294423","0.00018662759295294423","14_0:0.0045688162721562176;14_18:0.004551264685025896","14_0:660;14_18:660","true"
"15","334.24612224076304","53.88657613365835","4.947919060049386","-0.308052427832017","0.010199999999999987","0.0118","0.008600000000000052","4000","0.0001968653545237118","0.0001968653545237118","0.0001968653545237118","15_22:0.006191154227150192","15_22:660","true"
"16","262.0457387244486","17.056718404174294","4.9603315487921416","-0.3076594514774509","0.013299999999999979","0.016199999999999992","0.0104","4000","0.00032497449151918","0.00032497449151918","0.00032497449151918","16_26:0.006387575293498288;16_8:0.005667536432534537","16_26:660;16_8:660","true"
"17","406.91936849429743","325.3031631358234","4.820816229719515","-0.30970435909943395","0.017199999999999993","0.012399999999999967","0.022","4000","0.00011933362822929772","0.00011933362822929772","0.00011933362822929772","17_30:0.0070801618919435205","17_30:660","true"
"18","321.27120138257874","114.7903554362549","4.7882547015395875","-0.31063598977187784","0.06869999999999998","0.06599999999999995","0.0714","4000","0.0001670403111227862","0.0001670403111227862","0.0001670403111227862","18_19:0.004700210979859981","18_19:660","true"
"19","132.26399085532674","77.89688581030408","4.747022789262394","-0.31072395279331844","0.04170000000000007","0.04820000000000002","0.0352","4000","0.0002462859281295319","0.0002462859281295319","0.0002462859281295319","","","true"
"20","294.0165733864616","243.72432554566873","4.862306312023234","-0.3090978906556921","0.009500000000000064","0.0056","0.013399999999999967","4000","0.00018680044518210287","0.00018680044518210287","0.00018680044518210287","20_33:0.017599384555745584;20_19:0.0048363519421038","20_33:660;20_19:660","true"
